date,totalDischarge_KB100,totalDischarge_KB150,totalDischarge_KB300,totalDischarge_KB175,dailyDischarge_KB100,dailyDischarge_KB150,dailyDischarge_KB175,dailyDischarge_KB300,dailyStage_KB100,dailyStage_KB150,dailyStage_KB300,dailyStage_MB100,totalClkg_KB100,totalClkg_KB150,totalClkg_KB175,totalClkg_KB175_corrected,totalClkg_KB300,totalClkg_MB100,fluxClKB100,fluxClKB300,fluxClKB150,season,year,month,day,rain_mm,avg_PET,airtempr,daily_ave_water_temp,monthYear,waterYear,rownum,flowRatio
2018-02-02,5833.76009447847,2476.444600288974,2140.135649283228,1217.1798449062655,0.06752037146387117,0.028662553244085346,0.01408772968641511,0.024770088533370694,0.42072216504114596,0.1786842127908158,0.24841121578786907,0.1495192663314031,680.0866033259999,549.0304052567984,86.98679961131049,86.98679961131049,44.069398457891076,20.430866682307464,116.57774613832466,20.591871581902186,221.70106498353832,winter,2018,2,2,6.095999999999999,0.49892857142857144,-7.716135417,-0.02618055555555555,Feb 2018,2018,33,false
2018-02-03,4004.9794450223444,2065.545750642653,1973.7876986568733,-34.35400427718236,0.04635392876183269,0.023906779521327002,-3.976157902451662e-4,0.02284476503075085,0.3853225604998476,0.19844490043685867,0.24102159555013672,0.14568381458904814,480.6785469239999,488.4312110765981,-55.670460784036834,5.358483060201802,47.917796631438925,25.190355926965672,120.0202281990284,24.277077349324916,236.46593687146975,winter,2018,2,3,0,0.49892857142857144,-9.5800625,-0.058819444444444445,Feb 2018,2018,34,false
2018-02-04,4399.49633502033,2394.7093514746075,2288.3633943676,-283.5764108218797,0.05092009647014271,0.027716543419844995,-0.0032821343845124964,0.026485687434810185,0.3911428216499035,0.1486912175657828,0.2538649454434619,0.16052708117443873,523.2882874180001,615.019427642,-170.3688856165581,0,78.63774539255806,46.595438936605476,118.94277152877365,34.36418603186491,256.82424769556485,winter,2018,2,4,0,0.49892857142857144,-0.85790625,-0.0625,Feb 2018,2018,35,false
2018-02-05,11647.391682222662,7089.253500532967,3577.3895222402143,980.7486594494844,0.13480777409979933,0.0820515451450575,0.011351257632517181,0.041404971322224704,0.4959629157269125,0.23920160042669916,0.3030282368688407,0.24244249304073923,1356.3064366999997,1531.9552216799998,-245.67934269937885,2.916369429135729,70.0305577193788,128.0581903897638,116.44722472672757,19.575882716714794,216.0954212689429,winter,2018,2,5,21.59,0.49892857142857144,-4.73859375,-0.10177083333333334,Feb 2018,2018,36,false
2018-02-06,9254.347637246503,4445.394759814806,2400.998216225383,2407.9546612063164,0.10711050506072341,0.05145132823859729,0.027869845615813845,0.027789331206312304,0.4696161714924311,0.1918873723458295,0.25956128446611787,0.16785519155745118,1271.9997921099994,1094.3134017520001,119.90583466748329,206.34613032532016,57.78055569051672,71.71455837668992,137.44888802215613,24.06522224800055,246.1678795422859,winter,2018,2,6,0,0.49892857142857144,-6.42778125,-0.04989583333333334,Feb 2018,2018,37,false
2018-02-07,8569.944359656705,2863.894130264046,2204.839451817553,3501.2107775751065,0.09918917082936002,0.033146922803982015,0.04052327288860077,0.02551897513677723,0.46005613806766227,0.16075593533475566,0.25106811307528165,0.15277200690846202,1160.3355201670001,688.5155053599997,415.7694601122812,415.7694601122812,56.05055469471875,68.54526139028481,135.3959222453436,25.421603667565744,240.41234558364062,winter,2018,2,7,0,0.49892857142857144,-6.123760417,-0.10822916666666667,Feb 2018,2018,38,false
2018-02-08,8906.541270717851,2486.275046293934,2473.3359996416416,3946.9302247822748,0.10308496841108623,0.02877633155432794,0.04568206278683189,0.028626574069926407,0.46466170161536113,0.1524710286498019,0.26256979223813853,0.16178422142639357,1199.59673084,624.4451050329999,516.0691143366664,516.0691143366664,59.08251147033362,92.23684619189113,134.68715794131327,23.887782120542465,251.15688868124383,winter,2018,2,8,16.509999999999998,0.49892857142857144,-7.359072917,-0.07628472222222223,Feb 2018,2018,39,false
2018-02-09,6714.964613411799,2301.4806739590067,2286.4714083949107,2127.012531057883,0.07771949784041435,0.026637507800451467,0.024618200590947718,0.02646378944901517,0.4353287508381591,0.14829170633953062,0.2548427759829317,0.15011276516305916,923.6167712480004,614.566847087,255.15198023988563,255.15198023988563,53.89794392111453,82.7322692275751,137.54603701161145,23.572542268941195,267.031070058834,winter,2018,2,9,0,0.49892857142857144,-7.09553125,-0.08479166666666665,Feb 2018,2018,40,false
2018-02-10,6878.572659787879,2671.1171961155273,2330.185461947282,1877.2700017250686,0.07961310948828564,0.030915708288374158,0.02172766205700311,0.026969739142908355,0.43766750233668594,0.15650827054759728,0.2564840745199632,0.14882289083612626,949.9268906870001,727.913006891,148.5129206191392,148.5129206191392,73.50096317686075,89.20782896537617,138.0994194101155,31.542967020074748,272.51256813050645,winter,2018,2,10,0,0.49892857142857144,3.7875,0.04878472222222222,Feb 2018,2018,41,false
2018-02-11,19044.744236901253,7818.426993609967,5039.187692448915,6187.129550842361,0.22042528051969043,0.09049105316678203,0.07161029572734214,0.05832393162556615,0.5375126237935589,0.24761131011886617,0.34299449964441725,0.26230917067967013,1697.3174292699998,1053.2052910639998,567.5042622779692,567.5042622779692,76.60787592803078,790.7034013130052,89.12261609590239,15.202425589907197,134.70808027302536,winter,2018,2,11,3.8099999999999996,0.49892857142857144,3.680875,-0.00336805555555556,Feb 2018,2018,42,false
